#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
152981278,0.5,20.375,4.38,7,24,-61,2412,FTM_PINK,1
152981787,0.5,18.25,4.08,5,24,-61,2412,FTM_PINK,1
152982322,0.5,16.937,4.155,5,24,-67,2412,FTM_PINK,1
152982840,0.5,17.687,4.83,6,24,-48,2412,FTM_PINK,1
152983388,0.5,18.125,5.25,5,24,-56,2412,FTM_PINK,1
152983900,0.5,20.062,6.645,6,24,-61,2412,FTM_PINK,1
152984447,0.5,16.937,3.645,6,24,-57,2412,FTM_PINK,1
152984968,0.5,14.062,5.49,6,24,-56,2412,FTM_PINK,1
152985900,0.5,11.375,3.39,4,24,-56,2412,FTM_PINK,1
152986412,0.5,11.25,2.52,5,24,-59,2412,FTM_PINK,1
152986928,0.5,13.625,5.415,6,24,-58,2412,FTM_PINK,1
152987445,0.5,11.687,1.62,6,24,-57,2412,FTM_PINK,1
152987960,0.5,14.25,6.78,6,24,-57,2412,FTM_PINK,1
152988475,0.5,17.375,4.905,7,24,-57,2412,FTM_PINK,1
152988981,0.5,18.562,3.63,4,24,-57,2412,FTM_PINK,1
152989499,0.5,17.25,5.385,4,24,-57,2412,FTM_PINK,1
152990014,0.5,15.25,6.33,6,24,-63,2412,FTM_PINK,1
152990517,0.5,13.75,5.715,7,24,-57,2412,FTM_PINK,1
152991062,0.5,18.875,0.51,3,24,-57,2412,FTM_PINK,1
152991573,0.5,12.875,3.9,4,24,-43,2412,FTM_PINK,1
152992117,0.5,16.0,6.87,6,24,-57,2412,FTM_PINK,1
152992637,0.5,15.0,5.31,6,24,-63,2412,FTM_PINK,1
152993149,0.5,10.312,0.345,4,24,-57,2412,FTM_PINK,1
152993676,0.5,8.5,1.23,5,24,-55,2412,FTM_PINK,1
152994194,0.5,14.062,4.035,4,24,-57,2412,FTM_PINK,1
152994716,0.5,11.687,3.12,4,24,-57,2412,FTM_PINK,1
152995232,0.5,13.0,4.425,6,24,-61,2412,FTM_PINK,1
152995741,0.5,11.375,4.305,5,24,-48,2412,FTM_PINK,1
152996252,0.5,20.375,4.08,6,24,-58,2412,FTM_PINK,1
152996760,0.5,17.5,5.67,6,24,-58,2412,FTM_PINK,1
152997266,0.5,18.125,5.805,6,24,-51,2412,FTM_PINK,1
152997782,0.5,16.937,6.18,5,24,-61,2412,FTM_PINK,1
152998295,0.5,18.562,4.8,4,24,-60,2412,FTM_PINK,1
152998805,0.5,15.0,4.11,6,24,-59,2412,FTM_PINK,1
152999319,0.5,15.875,4.995,5,24,-58,2412,FTM_PINK,1
152999844,0.5,14.812,5.895,5,24,-58,2412,FTM_PINK,1
153000351,0.5,12.125,4.215,6,24,-58,2412,FTM_PINK,1
153000857,0.5,17.812,4.455,5,24,-59,2412,FTM_PINK,1
153001370,0.5,8.687,1.095,5,24,-57,2412,FTM_PINK,1
153001880,0.5,12.437,6.3,5,24,-57,2412,FTM_PINK,1
153003440,0.5,16.625,5.355,5,24,-57,2412,FTM_PINK,1
153003953,0.5,14.375,5.625,6,24,-57,2412,FTM_PINK,1
153004465,0.5,8.812,1.14,4,24,-57,2412,FTM_PINK,1
153005012,0.5,8.812,0.885,4,24,-57,2412,FTM_PINK,1
153005519,0.5,15.562,5.475,7,24,-57,2412,FTM_PINK,1
153006058,0.5,13.312,3.735,6,24,-57,2412,FTM_PINK,1
153006977,0.5,12.0,5.07,5,24,-57,2412,FTM_PINK,1
153007492,0.5,14.687,5.52,5,24,-56,2412,FTM_PINK,1
153008004,0.5,13.187,5.775,6,24,-62,2412,FTM_PINK,1
153008515,0.5,13.5,4.53,5,24,-56,2412,FTM_PINK,1
153009029,0.5,15.125,5.34,6,24,-57,2412,FTM_PINK,1
153009554,0.5,16.187,5.385,5,24,-45,2412,FTM_PINK,1
153010064,0.5,17.812,4.125,5,24,-57,2412,FTM_PINK,1
153010577,0.5,20.687,2.205,3,24,-57,2412,FTM_PINK,1
