#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
14069976,0.5,18.0,5.115,7,24,-80,2412,FTM_PINK,1
14070487,0.5,15.875,1.53,7,24,-82,2412,FTM_PINK,1
14071027,0.5,17.812,4.395,6,24,-85,2412,FTM_PINK,1
14071547,0.5,21.437,5.025,6,24,-90,2412,FTM_PINK,1
14072064,0.5,30.125,4.35,4,24,-91,2412,FTM_PINK,1
14072587,0.5,28.0,0.96,4,24,-87,2412,FTM_PINK,1
14073099,0.5,18.875,5.31,6,24,-87,2412,FTM_PINK,1
14074515,0.5,18.75,1.65,8,24,-88,2412,FTM_PINK,1
14075044,0.5,20.062,6.33,4,24,-87,2412,FTM_PINK,1
14075564,0.5,20.062,6.51,7,24,-87,2412,FTM_PINK,1
14076663,0.5,25.312,7.185,7,24,-88,2412,FTM_PINK,1
14077191,0.5,21.562,2.94,8,24,-88,2412,FTM_PINK,1
14078171,0.5,26.5,5.91,7,24,-88,2412,FTM_PINK,1
14078715,0.5,16.312,1.155,6,24,-87,2412,FTM_PINK,1
14079712,0.5,17.5,4.215,5,24,-88,2412,FTM_PINK,1
14083275,0.5,14.375,2.175,7,24,-84,2412,FTM_PINK,1
14083806,0.5,22.625,5.1,6,24,-87,2412,FTM_PINK,1
14084353,0.5,16.0,0.15,3,24,-86,2412,FTM_PINK,1
14084880,0.5,19.937,0.0,1,24,-86,2412,FTM_PINK,1
14086289,0.5,20.375,5.28,6,24,-83,2412,FTM_PINK,1
14086832,0.5,16.312,2.295,8,24,-84,2412,FTM_PINK,1
14087745,0.5,19.187,4.995,8,24,-84,2412,FTM_PINK,1
14088254,0.5,16.0,4.62,9,24,-82,2412,FTM_PINK,1
14088766,0.5,23.375,6.21,6,24,-87,2412,FTM_PINK,1
14089277,0.5,20.25,5.775,7,24,-84,2412,FTM_PINK,1
14089793,0.5,20.687,4.665,6,24,-88,2412,FTM_PINK,1
14090308,0.5,24.0,5.235,6,24,-86,2412,FTM_PINK,1
14090827,0.5,19.0,0.42,4,24,-88,2412,FTM_PINK,1
14091871,0.5,19.312,0.855,5,24,-88,2412,FTM_PINK,1
14092398,0.5,34.625,0.0,1,24,-88,2412,FTM_PINK,1
14092921,0.5,30.25,6.615,6,24,-88,2412,FTM_PINK,1
14093437,0.5,26.25,4.035,5,24,-86,2412,FTM_PINK,1
14093943,0.5,21.0,1.95,5,24,-89,2412,FTM_PINK,1
14094448,0.5,27.875,2.325,5,24,-73,2412,FTM_PINK,1
14094967,0.5,19.187,0.705,3,24,-91,2412,FTM_PINK,1
14095480,0.5,21.75,3.63,5,24,-91,2412,FTM_PINK,1
14097295,0.5,22.187,4.635,7,24,-88,2412,FTM_PINK,1
14098171,0.5,28.312,6.315,6,24,-88,2412,FTM_PINK,1
14098675,0.5,25.187,5.04,6,24,-92,2412,FTM_PINK,1
14099222,0.5,25.0,4.44,5,24,-89,2412,FTM_PINK,1
