#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
153261814,0.5,25.187,4.875,5,24,-58,2412,FTM_GREEN,1
153262349,0.5,37.625,6.3,5,24,-61,2412,FTM_GREEN,1
153262891,0.5,25.312,3.63,4,24,-66,2412,FTM_GREEN,1
153263433,0.5,34.75,0.255,3,24,-63,2412,FTM_GREEN,1
153263976,0.5,17.062,1.125,6,24,-61,2412,FTM_GREEN,1
153264526,0.5,48.0,6.72,8,24,-63,2412,FTM_GREEN,1
153265058,0.5,34.937,6.39,6,24,-60,2412,FTM_GREEN,1
153265600,0.5,39.437,5.685,6,24,-68,2412,FTM_GREEN,1
153266141,0.5,27.875,5.025,4,24,-61,2412,FTM_GREEN,1
153266679,0.5,24.75,3.69,7,24,-61,2412,FTM_GREEN,1
153267209,0.5,27.562,3.09,6,24,-63,2412,FTM_GREEN,1
153267751,0.5,27.0,5.7,2,24,-60,2412,FTM_GREEN,1
153268292,0.5,32.375,2.385,4,24,-61,2412,FTM_GREEN,1
153268829,0.5,30.75,4.125,9,24,-60,2412,FTM_GREEN,1
153269371,0.5,49.625,6.585,5,24,-60,2412,FTM_GREEN,1
153269911,0.5,33.125,0.75,2,24,-60,2412,FTM_GREEN,1
153270447,0.5,29.25,5.13,4,24,-60,2412,FTM_GREEN,1
153270990,0.5,36.0,8.97,6,24,-60,2412,FTM_GREEN,1
153271539,0.5,30.75,5.13,5,24,-64,2412,FTM_GREEN,1
153272100,0.5,31.312,4.56,6,24,-62,2412,FTM_GREEN,1
153272643,0.5,28.0,5.19,6,24,-70,2412,FTM_GREEN,1
153273186,0.5,22.75,4.095,7,24,-61,2412,FTM_GREEN,1
153273725,0.5,22.187,4.635,8,24,-65,2412,FTM_GREEN,1
153274270,0.5,24.875,5.97,7,24,-61,2412,FTM_GREEN,1
153275206,0.5,27.562,2.985,6,24,-61,2412,FTM_GREEN,1
153275749,0.5,23.687,5.025,6,24,-60,2412,FTM_GREEN,1
153276306,0.5,22.0,4.845,6,24,-61,2412,FTM_GREEN,1
153276850,0.5,22.75,6.33,6,24,-66,2412,FTM_GREEN,1
153277400,0.5,22.187,4.56,6,24,-60,2412,FTM_GREEN,1
153277941,0.5,26.375,4.05,2,24,-61,2412,FTM_GREEN,1
153279829,0.5,22.0,4.515,5,24,-61,2412,FTM_GREEN,1
153280366,0.5,11.375,0.72,4,24,-60,2412,FTM_GREEN,1
153280896,0.5,17.812,4.11,5,24,-61,2412,FTM_GREEN,1
153281423,0.5,22.75,5.265,6,24,-60,2412,FTM_GREEN,1
153281957,0.5,22.5,2.94,5,24,-67,2412,FTM_GREEN,1
153282488,0.5,28.0,3.735,7,24,-73,2412,FTM_GREEN,1
153283026,0.5,26.812,6.525,5,24,-67,2412,FTM_GREEN,1
153283573,0.5,25.75,5.475,7,24,-67,2412,FTM_GREEN,1
153284106,0.5,25.625,4.755,5,24,-60,2412,FTM_GREEN,1
153284648,0.5,20.687,4.905,7,24,-60,2412,FTM_GREEN,1
153285187,0.5,16.312,4.155,4,24,-61,2412,FTM_GREEN,1
153285729,0.5,22.187,2.85,6,24,-61,2412,FTM_GREEN,1
153286646,0.5,18.437,4.455,7,24,-61,2412,FTM_GREEN,1
153287179,0.5,19.5,0.225,4,24,-61,2412,FTM_GREEN,1
153287725,0.5,28.312,5.31,5,24,-61,2412,FTM_GREEN,1
153288278,0.5,29.062,4.5,5,24,-62,2412,FTM_GREEN,1
153288817,0.5,34.625,3.705,4,24,-65,2412,FTM_GREEN,1
153289362,0.5,37.187,6.27,5,24,-63,2412,FTM_GREEN,1
153289898,0.5,31.625,4.305,7,24,-62,2412,FTM_GREEN,1
153291297,0.5,19.937,0.795,3,24,-62,2412,FTM_GREEN,1
