#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
15696872,0.5,32.25,2.505,7,24,-72,2412,FTM_PINK,1
15697387,0.5,33.875,2.73,5,24,-72,2412,FTM_PINK,1
15697928,0.5,36.437,5.37,6,24,-72,2412,FTM_PINK,1
15698442,0.5,38.375,4.455,5,24,-73,2412,FTM_PINK,1
15698987,0.5,35.812,5.73,6,24,-76,2412,FTM_PINK,1
15699518,0.5,38.375,6.15,7,24,-73,2412,FTM_PINK,1
15700592,0.5,41.812,4.785,4,24,-74,2412,FTM_PINK,1
15701110,0.5,38.062,6.075,6,24,-61,2412,FTM_PINK,1
15701653,0.5,35.687,6.54,7,24,-72,2412,FTM_PINK,1
15702169,0.5,35.812,5.13,8,24,-75,2412,FTM_PINK,1
15702688,0.5,31.75,2.85,5,24,-74,2412,FTM_PINK,1
15703208,0.5,34.187,2.67,7,24,-72,2412,FTM_PINK,1
15703723,0.5,36.562,6.3,8,24,-72,2412,FTM_PINK,1
15704244,0.5,38.687,5.535,7,24,-72,2412,FTM_PINK,1
15705277,0.5,39.875,5.4,6,24,-73,2412,FTM_PINK,1
15706311,0.5,33.875,1.62,5,24,-73,2412,FTM_PINK,1
15706832,0.5,40.187,3.555,4,24,-73,2412,FTM_PINK,1
15707353,0.5,34.75,5.745,7,24,-76,2412,FTM_PINK,1
15710281,0.5,33.875,3.84,6,24,-72,2412,FTM_PINK,1
15710803,0.5,44.375,0.93,5,24,-72,2412,FTM_PINK,1
15711322,0.5,38.25,4.71,5,24,-73,2412,FTM_PINK,1
15711832,0.5,35.062,3.855,5,24,-72,2412,FTM_PINK,1
15712348,0.5,31.75,1.455,6,24,-71,2412,FTM_PINK,1
15712870,0.5,37.5,6.795,6,24,-71,2412,FTM_PINK,1
15713395,0.5,34.937,5.97,6,24,-71,2412,FTM_PINK,1
15713939,0.5,32.062,3.57,7,24,-71,2412,FTM_PINK,1
15714460,0.5,38.375,5.475,6,24,-72,2412,FTM_PINK,1
15715412,0.5,41.5,0.705,3,24,-70,2412,FTM_PINK,1
15718687,0.5,35.062,5.73,7,24,-74,2412,FTM_PINK,1
15719205,0.5,35.687,7.08,7,24,-73,2412,FTM_PINK,1
15719713,0.5,40.187,5.4,6,24,-74,2412,FTM_PINK,1
15720227,0.5,34.0,4.14,4,24,-73,2412,FTM_PINK,1
15720742,0.5,39.25,3.405,4,24,-73,2412,FTM_PINK,1
15721268,0.5,38.375,5.07,6,24,-74,2412,FTM_PINK,1
15721788,0.5,41.062,4.125,6,24,-74,2412,FTM_PINK,1
15722310,0.5,36.437,3.96,9,24,-75,2412,FTM_PINK,1
15722826,0.5,37.75,4.95,9,24,-74,2412,FTM_PINK,1
15723362,0.5,36.75,5.31,5,24,-75,2412,FTM_PINK,1
