#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
157799283,0.5,14.375,4.725,6,24,-53,2412,FTM_GREEN,1
157799803,0.5,19.937,3.6,5,24,-57,2412,FTM_GREEN,1
157800334,0.5,18.75,5.625,5,24,-63,2412,FTM_GREEN,1
157800884,0.5,13.5,1.155,5,24,-56,2412,FTM_GREEN,1
157801426,0.5,21.562,4.8,6,24,-56,2412,FTM_GREEN,1
157801961,0.5,18.875,5.055,6,24,-54,2412,FTM_GREEN,1
157802887,0.5,19.0,1.38,5,24,-59,2412,FTM_GREEN,1
157803424,0.5,15.0,6.63,6,24,-55,2412,FTM_GREEN,1
157804429,0.5,18.562,5.955,6,24,-57,2412,FTM_GREEN,1
157805817,0.5,13.187,0.495,4,24,-64,2412,FTM_GREEN,1
157806360,0.5,21.75,5.475,4,24,-57,2412,FTM_GREEN,1
157806899,0.5,18.75,4.65,7,24,-56,2412,FTM_GREEN,1
157807456,0.5,11.5,0.675,3,24,-55,2412,FTM_GREEN,1
157807998,0.5,17.062,6.405,7,24,-53,2412,FTM_GREEN,1
157808531,0.5,17.687,4.395,5,24,-63,2412,FTM_GREEN,1
157809066,0.5,15.25,3.525,4,24,-57,2412,FTM_GREEN,1
157809616,0.5,19.312,2.565,3,24,-58,2412,FTM_GREEN,1
157810150,0.5,12.125,1.695,6,24,-56,2412,FTM_GREEN,1
157810692,0.5,11.5,1.08,4,24,-56,2412,FTM_GREEN,1
157811226,0.5,15.75,5.295,6,24,-55,2412,FTM_GREEN,1
157811763,0.5,14.687,5.205,5,24,-54,2412,FTM_GREEN,1
157814090,0.5,17.5,4.365,5,24,-58,2412,FTM_GREEN,1
157814625,0.5,19.187,5.4,6,24,-62,2412,FTM_GREEN,1
157815160,0.5,24.562,6.12,6,24,-59,2412,FTM_GREEN,1
157815696,0.5,19.625,7.125,7,24,-63,2412,FTM_GREEN,1
157816243,0.5,21.562,4.545,6,24,-61,2412,FTM_GREEN,1
157816779,0.5,20.375,5.16,7,24,-60,2412,FTM_GREEN,1
157817732,0.5,19.5,3.915,5,24,-57,2412,FTM_GREEN,1
157818262,0.5,16.5,0.225,2,24,-57,2412,FTM_GREEN,1
157818800,0.5,21.437,0.45,4,24,-68,2412,FTM_GREEN,1
157819336,0.5,21.875,2.055,5,24,-57,2412,FTM_GREEN,1
157819865,0.5,18.875,5.205,7,24,-58,2412,FTM_GREEN,1
157820387,0.5,19.0,6.405,6,24,-73,2412,FTM_GREEN,1
157820929,0.5,18.25,5.865,6,24,-58,2412,FTM_GREEN,1
157821484,0.5,13.937,5.055,6,24,-55,2412,FTM_GREEN,1
157822025,0.5,18.562,5.43,6,24,-57,2412,FTM_GREEN,1
157822570,0.5,16.625,3.03,5,24,-58,2412,FTM_GREEN,1
157823111,0.5,19.0,5.58,6,24,-58,2412,FTM_GREEN,1
157823662,0.5,17.375,4.875,7,24,-57,2412,FTM_GREEN,1
157824195,0.5,18.25,7.02,6,24,-56,2412,FTM_GREEN,1
157824745,0.5,18.437,5.31,6,24,-58,2412,FTM_GREEN,1
157825300,0.5,17.375,1.065,4,24,-60,2412,FTM_GREEN,1
157825837,0.5,18.875,4.605,6,24,-58,2412,FTM_GREEN,1
157826774,0.5,19.187,4.995,6,24,-60,2412,FTM_GREEN,1
157827335,0.5,20.25,5.49,6,24,-59,2412,FTM_GREEN,1
157827861,0.5,26.062,0.84,5,24,-66,2412,FTM_GREEN,1
157828398,0.5,16.312,4.5,6,24,-58,2412,FTM_GREEN,1
157828947,0.5,22.625,3.945,4,24,-59,2412,FTM_GREEN,1
