#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
16134474,0.5,16.937,4.59,6,24,-60,2412,FTM_GREEN,1
16134993,0.5,19.312,5.565,6,24,-59,2412,FTM_GREEN,1
16135518,0.5,21.875,6.015,7,24,-67,2412,FTM_GREEN,1
16136070,0.5,12.75,4.47,4,24,-61,2412,FTM_GREEN,1
16136592,0.5,17.812,4.875,5,24,-60,2412,FTM_GREEN,1
16137106,0.5,18.125,6.0,8,24,-61,2412,FTM_GREEN,1
16137658,0.5,19.625,0.0,1,24,-62,2412,FTM_GREEN,1
16138174,0.5,15.0,3.84,6,24,-59,2412,FTM_GREEN,1
16138729,0.5,15.437,0.57,5,24,-60,2412,FTM_GREEN,1
16139255,0.5,15.25,6.36,6,24,-61,2412,FTM_GREEN,1
16139815,0.5,16.937,3.765,7,24,-61,2412,FTM_GREEN,1
16140331,0.5,13.0,1.815,5,24,-60,2412,FTM_GREEN,1
16140853,0.5,16.937,5.37,7,24,-60,2412,FTM_GREEN,1
16141366,0.5,19.75,5.715,6,24,-60,2412,FTM_GREEN,1
16141883,0.5,13.937,3.765,6,24,-63,2412,FTM_GREEN,1
16142393,0.5,10.75,4.38,5,24,-62,2412,FTM_GREEN,1
16143314,0.5,7.5,1.2,5,24,-64,2412,FTM_GREEN,1
16143826,0.5,12.25,4.86,11,24,-62,2412,FTM_GREEN,1
16144344,0.5,10.312,2.925,7,24,-62,2412,FTM_GREEN,1
16144852,0.5,12.0,5.475,7,24,-63,2412,FTM_GREEN,1
16145364,0.5,7.312,0.495,4,24,-62,2412,FTM_GREEN,1
16145874,0.5,8.812,2.01,5,24,-62,2412,FTM_GREEN,1
16146389,0.5,15.562,6.735,6,24,-61,2412,FTM_GREEN,1
16146898,0.5,11.375,0.69,5,24,-61,2412,FTM_GREEN,1
16147412,0.5,12.0,3.78,7,24,-62,2412,FTM_GREEN,1
16148369,0.5,11.375,2.925,5,24,-61,2412,FTM_GREEN,1
16148902,0.5,9.25,1.725,6,24,-61,2412,FTM_GREEN,1
16149420,0.5,10.75,5.115,6,24,-66,2412,FTM_GREEN,1
16149964,0.5,23.687,0.0,1,24,-60,2412,FTM_GREEN,1
16150488,0.5,15.125,5.01,5,24,-61,2412,FTM_GREEN,1
16150994,0.5,18.75,5.295,8,24,-62,2412,FTM_GREEN,1
16151510,0.5,24.125,2.325,4,24,-69,2412,FTM_GREEN,1
16152018,0.5,14.062,2.325,4,24,-60,2412,FTM_GREEN,1
16152533,0.5,18.125,5.22,6,24,-61,2412,FTM_GREEN,1
16153047,0.5,18.875,5.55,6,24,-60,2412,FTM_GREEN,1
16153599,0.5,14.5,4.575,6,24,-60,2412,FTM_GREEN,1
16154122,0.5,12.875,3.675,4,24,-61,2412,FTM_GREEN,1
16154638,0.5,13.75,5.565,7,24,-67,2412,FTM_GREEN,1
16155565,0.5,15.25,4.695,8,24,-61,2412,FTM_GREEN,1
16156088,0.5,10.75,0.96,4,24,-61,2412,FTM_GREEN,1
16156605,0.5,12.437,3.3,6,24,-60,2412,FTM_GREEN,1
16157127,0.5,14.5,4.845,7,24,-61,2412,FTM_GREEN,1
16157646,0.5,12.875,0.885,6,24,-61,2412,FTM_GREEN,1
16158167,0.5,10.5,0.54,4,24,-61,2412,FTM_GREEN,1
16158675,0.5,15.75,5.4,2,24,-31,2412,FTM_GREEN,1
16159188,0.5,21.562,1.455,4,24,-60,2412,FTM_GREEN,1
16159734,0.5,12.0,2.07,5,24,-60,2412,FTM_GREEN,1
16160257,0.5,11.687,0.945,5,24,-60,2412,FTM_GREEN,1
16160801,0.5,15.125,4.62,7,24,-61,2412,FTM_GREEN,1
16161325,0.5,16.937,4.725,6,24,-61,2412,FTM_GREEN,1
16161879,0.5,15.875,5.415,8,24,-65,2412,FTM_GREEN,1
16162404,0.5,15.562,5.13,7,24,-60,2412,FTM_GREEN,1
