#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
159356346,0.5,11.812,1.38,5,24,-53,2412,FTM_ORANGE,1
159356880,0.5,16.5,2.715,5,24,-53,2412,FTM_ORANGE,1
159357429,0.5,16.5,1.11,6,24,-54,2412,FTM_ORANGE,1
159357974,0.5,24.875,4.125,5,24,-53,2412,FTM_ORANGE,1
159358498,0.5,22.0,3.33,6,24,-58,2412,FTM_ORANGE,1
159359032,0.5,13.5,0.915,4,24,-56,2412,FTM_ORANGE,1
159359567,0.5,21.437,3.66,5,24,-75,2412,FTM_ORANGE,1
159360096,0.5,27.562,3.69,5,24,-59,2412,FTM_ORANGE,1
159360632,0.5,24.875,2.115,5,24,-62,2412,FTM_ORANGE,1
159361160,0.5,26.5,6.51,5,24,-57,2412,FTM_ORANGE,1
159361691,0.5,21.25,5.37,6,24,-55,2412,FTM_ORANGE,1
159362227,0.5,19.937,0.255,3,24,-63,2412,FTM_ORANGE,1
159362757,0.5,21.75,6.45,6,24,-57,2412,FTM_ORANGE,1
159363295,0.5,24.0,4.065,4,24,-57,2412,FTM_ORANGE,1
159363820,0.5,17.812,5.235,6,24,-56,2412,FTM_ORANGE,1
159364349,0.5,23.5,4.665,6,24,-57,2412,FTM_ORANGE,1
159364886,0.5,16.937,3.39,5,24,-57,2412,FTM_ORANGE,1
159365429,0.5,20.25,6.315,7,24,-57,2412,FTM_ORANGE,1
159365958,0.5,22.5,6.51,5,24,-58,2412,FTM_ORANGE,1
159366480,0.5,23.5,1.065,4,24,-57,2412,FTM_ORANGE,1
159367398,0.5,14.812,1.125,3,24,-55,2412,FTM_ORANGE,1
159367945,0.5,16.312,0.285,3,24,-54,2412,FTM_ORANGE,1
159368472,0.5,13.937,3.21,4,24,-56,2412,FTM_ORANGE,1
159369002,0.5,13.0,4.65,5,24,-55,2412,FTM_ORANGE,1
159369542,0.5,10.625,0.87,3,24,-56,2412,FTM_ORANGE,1
159370058,0.5,15.125,5.595,5,24,-56,2412,FTM_ORANGE,1
159371565,0.5,14.375,3.15,6,24,-47,2412,FTM_ORANGE,1
159372557,0.5,18.25,5.49,5,24,-58,2412,FTM_ORANGE,1
159373093,0.5,16.625,5.55,6,24,-63,2412,FTM_ORANGE,1
159373624,0.5,15.437,6.225,6,24,-55,2412,FTM_ORANGE,1
159374150,0.5,20.25,5.505,6,24,-56,2412,FTM_ORANGE,1
159374667,0.5,18.25,5.16,6,24,-56,2412,FTM_ORANGE,1
159375203,0.5,19.937,5.895,6,24,-53,2412,FTM_ORANGE,1
159375737,0.5,18.25,3.795,7,24,-54,2412,FTM_ORANGE,1
159376272,0.5,16.187,7.635,4,24,-56,2412,FTM_ORANGE,1
159376809,0.5,15.437,4.545,6,24,-56,2412,FTM_ORANGE,1
159377329,0.5,17.687,6.075,5,24,-45,2412,FTM_ORANGE,1
159378254,0.5,19.312,6.015,6,24,-61,2412,FTM_ORANGE,1
159379213,0.5,16.0,6.135,5,24,-56,2412,FTM_ORANGE,1
159379747,0.5,10.5,0.705,4,24,-56,2412,FTM_ORANGE,1
159380684,0.5,18.125,4.695,6,24,-57,2412,FTM_ORANGE,1
159381218,0.5,12.125,0.42,3,24,-61,2412,FTM_ORANGE,1
159382180,0.5,21.125,6.015,6,24,-55,2412,FTM_ORANGE,1
159382716,0.5,21.875,4.815,6,24,-54,2412,FTM_ORANGE,1
159383251,0.5,18.25,5.67,6,24,-53,2412,FTM_ORANGE,1
159383784,0.5,15.0,4.395,6,24,-53,2412,FTM_ORANGE,1
159384318,0.5,12.25,1.485,5,24,-54,2412,FTM_ORANGE,1
159384852,0.5,16.312,6.24,7,24,-55,2412,FTM_ORANGE,1
159385388,0.5,19.187,5.28,6,24,-58,2412,FTM_ORANGE,1
159385921,0.5,15.25,4.425,6,24,-54,2412,FTM_ORANGE,1
