#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
16012580,0.5,10.937,1.365,6,24,-46,2412,FTM_BLUE,1
16013095,0.5,17.375,8.19,5,24,-44,2412,FTM_BLUE,1
16013610,0.5,17.375,5.175,7,24,-44,2412,FTM_BLUE,1
16014133,0.5,21.75,0.645,4,24,-44,2412,FTM_BLUE,1
16014644,0.5,13.5,2.445,7,24,-44,2412,FTM_BLUE,1
16015189,0.5,13.937,5.715,7,24,-46,2412,FTM_BLUE,1
16015703,0.5,11.062,2.715,7,24,-46,2412,FTM_BLUE,1
16016248,0.5,12.125,1.95,8,24,-46,2412,FTM_BLUE,1
16016768,0.5,15.25,4.965,6,24,-44,2412,FTM_BLUE,1
16017287,0.5,11.375,1.275,6,24,-44,2412,FTM_BLUE,1
16017805,0.5,16.187,5.025,6,24,-44,2412,FTM_BLUE,1
16018319,0.5,14.812,5.94,5,24,-45,2412,FTM_BLUE,1
16018865,0.5,10.187,0.63,4,24,-47,2412,FTM_BLUE,1
16019376,0.5,9.562,0.6,5,24,-46,2412,FTM_BLUE,1
16019920,0.5,13.75,5.025,6,24,-45,2412,FTM_BLUE,1
16020433,0.5,16.937,6.78,6,24,-53,2412,FTM_BLUE,1
16021463,0.5,12.125,2.76,8,24,-44,2412,FTM_BLUE,1
16022519,0.5,19.0,4.92,5,24,-46,2412,FTM_BLUE,1
16023038,0.5,13.5,3.285,9,24,-44,2412,FTM_BLUE,1
16023554,0.5,13.312,5.145,6,24,-44,2412,FTM_BLUE,1
16024066,0.5,11.25,1.38,5,24,-46,2412,FTM_BLUE,1
16027085,0.5,18.0,5.385,6,24,-46,2412,FTM_BLUE,1
16027606,0.5,17.375,5.655,7,24,-46,2412,FTM_BLUE,1
16028138,0.5,13.312,4.995,5,24,-46,2412,FTM_BLUE,1
16028653,0.5,10.5,0.84,5,24,-46,2412,FTM_BLUE,1
16029172,0.5,16.312,4.035,5,24,-46,2412,FTM_BLUE,1
16029689,0.5,14.375,4.875,7,24,-48,2412,FTM_BLUE,1
16030244,0.5,16.187,6.24,6,24,-46,2412,FTM_BLUE,1
16030756,0.5,10.187,2.385,6,24,-46,2412,FTM_BLUE,1
16031311,0.5,15.75,5.625,10,24,-46,2412,FTM_BLUE,1
16031831,0.5,14.25,4.05,7,24,-46,2412,FTM_BLUE,1
16032376,0.5,16.187,6.75,5,24,-46,2412,FTM_BLUE,1
16032901,0.5,18.25,5.16,7,24,-46,2412,FTM_BLUE,1
16033425,0.5,11.687,5.115,6,24,-46,2412,FTM_BLUE,1
16033949,0.5,12.0,1.14,4,24,-46,2412,FTM_BLUE,1
16034987,0.5,13.312,4.71,3,24,-31,2412,FTM_BLUE,1
16035498,0.5,11.5,3.6,2,24,-46,2412,FTM_BLUE,1
16036015,0.5,16.0,5.295,7,24,-45,2412,FTM_BLUE,1
16036534,0.5,15.562,6.42,6,24,-46,2412,FTM_BLUE,1
16037514,0.5,14.812,3.0,2,24,-46,2412,FTM_BLUE,1
16038034,0.5,22.625,0.54,4,24,-46,2412,FTM_BLUE,1
16038551,0.5,10.5,2.145,6,24,-45,2412,FTM_BLUE,1
16039075,0.5,11.687,0.255,3,24,-47,2412,FTM_BLUE,1
16039590,0.5,13.0,4.425,9,24,-49,2412,FTM_BLUE,1
16040102,0.5,8.687,1.035,4,24,-48,2412,FTM_BLUE,1
16040616,0.5,11.687,2.055,5,24,-46,2412,FTM_BLUE,1
16041185,0.5,13.312,4.53,7,24,-46,2412,FTM_BLUE,1
16041711,0.5,12.125,3.09,5,24,-54,2412,FTM_BLUE,1
16042234,0.5,16.312,4.485,6,24,-45,2412,FTM_BLUE,1
