#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
154358089,0.5,50.25,5.235,6,24,-61,2412,FTM_BLUE,1
154358624,0.5,37.5,6.495,6,24,-66,2412,FTM_BLUE,1
154359151,0.5,37.75,0.81,3,24,-60,2412,FTM_BLUE,1
154359693,0.5,28.5,1.74,5,24,-60,2412,FTM_BLUE,1
154362596,0.5,31.187,3.42,5,24,-59,2412,FTM_BLUE,1
154363125,0.5,37.5,5.385,6,24,-61,2412,FTM_BLUE,1
154363658,0.5,32.812,7.065,6,24,-60,2412,FTM_BLUE,1
154364196,0.5,27.125,5.025,6,24,-59,2412,FTM_BLUE,1
154364724,0.5,23.5,3.615,5,24,-59,2412,FTM_BLUE,1
154365251,0.5,31.937,2.22,4,24,-60,2412,FTM_BLUE,1
154365787,0.5,28.625,4.665,6,24,-60,2412,FTM_BLUE,1
154366328,0.5,28.75,3.705,7,24,-60,2412,FTM_BLUE,1
154366855,0.5,32.375,6.12,6,24,-60,2412,FTM_BLUE,1
154367389,0.5,33.125,5.79,6,24,-67,2412,FTM_BLUE,1
154367923,0.5,35.062,6.57,6,24,-60,2412,FTM_BLUE,1
154368458,0.5,34.312,6.66,4,24,-60,2412,FTM_BLUE,1
154368981,0.5,31.5,4.785,6,24,-59,2412,FTM_BLUE,1
154369516,0.5,30.75,4.995,5,24,-59,2412,FTM_BLUE,1
154370054,0.5,40.312,0.945,5,24,-59,2412,FTM_BLUE,1
154371033,0.5,33.75,5.94,5,24,-63,2412,FTM_BLUE,1
154371571,0.5,38.25,3.72,5,24,-59,2412,FTM_BLUE,1
154372114,0.5,37.0,6.69,5,24,-68,2412,FTM_BLUE,1
154372652,0.5,38.375,5.97,5,24,-60,2412,FTM_BLUE,1
154373184,0.5,24.0,0.945,5,24,-74,2412,FTM_BLUE,1
154373721,0.5,28.5,5.67,4,24,-59,2412,FTM_BLUE,1
154374254,0.5,29.062,5.61,6,24,-58,2412,FTM_BLUE,1
154374781,0.5,25.187,4.305,6,24,-58,2412,FTM_BLUE,1
154375314,0.5,27.0,4.005,4,24,-65,2412,FTM_BLUE,1
154375862,0.5,27.75,4.725,6,24,-61,2412,FTM_BLUE,1
154378647,0.5,29.5,6.675,5,24,-57,2412,FTM_BLUE,1
154379184,0.5,28.187,3.18,4,24,-57,2412,FTM_BLUE,1
154379722,0.5,29.687,5.955,5,24,-57,2412,FTM_BLUE,1
154380251,0.5,25.75,4.05,6,24,-56,2412,FTM_BLUE,1
154381165,0.5,28.312,4.32,5,24,-63,2412,FTM_BLUE,1
154381704,0.5,27.0,5.535,6,24,-56,2412,FTM_BLUE,1
154382245,0.5,28.5,5.13,6,24,-56,2412,FTM_BLUE,1
154382774,0.5,25.312,5.46,6,24,-55,2412,FTM_BLUE,1
154383311,0.5,22.5,2.73,4,24,-55,2412,FTM_BLUE,1
154384284,0.5,22.0,0.525,2,24,-55,2412,FTM_BLUE,1
154384821,0.5,27.0,5.475,7,24,-56,2412,FTM_BLUE,1
154385365,0.5,24.75,3.78,5,24,-55,2412,FTM_BLUE,1
154385901,0.5,27.125,4.485,5,24,-55,2412,FTM_BLUE,1
154386439,0.5,24.562,4.185,4,24,-55,2412,FTM_BLUE,1
154386975,0.5,27.25,5.625,6,24,-55,2412,FTM_BLUE,1
154387515,0.5,24.25,4.785,5,24,-55,2412,FTM_BLUE,1
