#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
16564756,0.5,7.312,5.055,5,24,-49,2412,FTM_GREEN,1
16565799,0.5,2.375,2.28,5,24,-45,2412,FTM_GREEN,1
16566347,0.5,1.937,3.195,6,24,-42,2412,FTM_GREEN,1
16566862,0.5,6.75,5.52,7,24,-49,2412,FTM_GREEN,1
16567377,0.5,4.75,4.515,8,24,-47,2412,FTM_GREEN,1
16567905,0.5,6.562,6.09,5,24,-45,2412,FTM_GREEN,1
16568419,0.5,3.0,1.59,9,24,-43,2412,FTM_GREEN,1
16568930,0.5,8.687,6.315,6,24,-50,2412,FTM_GREEN,1
16569452,0.5,9.125,5.31,7,24,-45,2412,FTM_GREEN,1
16569994,0.5,0.0,1.05,3,24,-45,2412,FTM_GREEN,1
16570511,0.5,12.25,0.615,3,24,-46,2412,FTM_GREEN,1
16571031,0.5,2.25,0.225,2,24,-51,2412,FTM_GREEN,1
16571549,0.5,10.187,4.56,7,24,-43,2412,FTM_GREEN,1
16572091,0.5,2.812,3.405,7,24,-44,2412,FTM_GREEN,1
16572602,0.5,2.062,1.275,7,24,-43,2412,FTM_GREEN,1
16573125,0.5,8.687,4.74,5,24,-44,2412,FTM_GREEN,1
16573639,0.5,4.0,4.905,6,24,-45,2412,FTM_GREEN,1
16574166,0.5,7.937,6.015,5,24,-47,2412,FTM_GREEN,1
16575101,0.5,7.312,3.42,9,24,-48,2412,FTM_GREEN,1
16575610,0.5,5.375,4.095,8,24,-48,2412,FTM_GREEN,1
16576123,0.5,7.75,3.24,7,24,-49,2412,FTM_GREEN,1
16576638,0.5,1.75,2.61,8,24,-50,2412,FTM_GREEN,1
16577155,0.5,1.187,0.54,5,24,-53,2412,FTM_GREEN,1
16577673,0.5,2.687,0.93,6,24,-47,2412,FTM_GREEN,1
16578191,0.5,4.312,4.335,5,24,-45,2412,FTM_GREEN,1
16579213,0.5,4.5,4.86,6,24,-46,2412,FTM_GREEN,1
16579730,0.5,1.312,0.735,4,24,-47,2412,FTM_GREEN,1
16580240,0.5,3.0,3.39,8,24,-48,2412,FTM_GREEN,1
16580757,0.5,10.0,0.63,3,24,-47,2412,FTM_GREEN,1
16586664,0.5,5.812,5.97,7,24,-46,2412,FTM_GREEN,1
16587177,0.5,12.75,1.485,5,24,-44,2412,FTM_GREEN,1
16587692,0.5,1.5,0.645,5,24,-44,2412,FTM_GREEN,1
16588713,0.5,7.0,6.78,7,24,-43,2412,FTM_GREEN,1
16589236,0.5,7.937,4.17,9,24,-41,2412,FTM_GREEN,1
16589744,0.5,6.125,5.745,6,24,-44,2412,FTM_GREEN,1
16590247,0.5,12.875,0.63,4,24,-44,2412,FTM_GREEN,1
16590759,0.5,2.25,1.545,6,24,-44,2412,FTM_GREEN,1
16591270,0.5,3.562,3.06,5,24,-44,2412,FTM_GREEN,1
16591785,0.5,6.75,6.405,6,24,-52,2412,FTM_GREEN,1
