#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
154711357,0.5,2.812,3.39,4,24,-44,2412,FTM_BLUE,1
154711891,0.5,0.125,0.12,3,24,-54,2412,FTM_BLUE,1
154712427,0.5,10.5,0.75,3,24,-57,2412,FTM_BLUE,1
154712966,0.5,4.5,3.84,4,24,-47,2412,FTM_BLUE,1
154713514,0.5,9.437,0.555,3,24,-46,2412,FTM_BLUE,1
154714050,0.5,7.625,5.31,4,24,-55,2412,FTM_BLUE,1
154715755,0.5,7.187,5.7,3,24,-48,2412,FTM_BLUE,1
154716291,0.5,6.125,5.325,5,24,-56,2412,FTM_BLUE,1
154716837,0.5,9.562,2.955,4,24,-48,2412,FTM_BLUE,1
154717371,0.5,7.625,0.525,2,24,-62,2412,FTM_BLUE,1
154717911,0.5,7.0,5.235,5,24,-48,2412,FTM_BLUE,1
154718456,0.5,10.75,3.435,4,24,-48,2412,FTM_BLUE,1
154719384,0.5,1.312,2.7,2,24,-48,2412,FTM_BLUE,1
154719917,0.5,5.5,5.115,4,24,-49,2412,FTM_BLUE,1
154720452,0.5,6.25,5.49,6,24,-56,2412,FTM_BLUE,1
154720986,0.5,5.812,5.835,6,24,-56,2412,FTM_BLUE,1
154721517,0.5,7.187,5.25,4,24,-48,2412,FTM_BLUE,1
154722048,0.5,4.625,5.595,4,24,-48,2412,FTM_BLUE,1
154722585,0.5,10.0,6.585,6,24,-55,2412,FTM_BLUE,1
154723516,0.5,3.25,2.34,3,24,-48,2412,FTM_BLUE,1
154724056,0.5,11.5,0.675,2,24,-49,2412,FTM_BLUE,1
154726857,0.5,8.687,4.29,5,24,-47,2412,FTM_BLUE,1
154727378,0.5,7.625,6.42,4,24,-38,2412,FTM_BLUE,1
154727919,0.5,4.5,4.38,4,24,-47,2412,FTM_BLUE,1
154728456,0.5,0.875,1.065,4,24,-47,2412,FTM_BLUE,1
154728995,0.5,7.312,5.55,6,24,-47,2412,FTM_BLUE,1
154729537,0.5,10.312,2.31,7,24,-52,2412,FTM_BLUE,1
154730077,0.5,6.75,3.15,5,24,-47,2412,FTM_BLUE,1
154730605,0.5,6.875,5.685,6,24,-48,2412,FTM_BLUE,1
154731152,0.5,10.937,0.63,3,24,-47,2412,FTM_BLUE,1
154731679,0.5,7.187,4.935,6,24,-58,2412,FTM_BLUE,1
154732596,0.5,5.375,4.05,2,24,-48,2412,FTM_BLUE,1
154733132,0.5,6.25,5.94,6,24,-48,2412,FTM_BLUE,1
154733667,0.5,5.5,4.335,7,24,-48,2412,FTM_BLUE,1
154734210,0.5,6.562,6.12,6,24,-48,2412,FTM_BLUE,1
154734739,0.5,3.437,4.86,4,24,-48,2412,FTM_BLUE,1
154735263,0.5,6.75,5.31,5,24,-47,2412,FTM_BLUE,1
154735800,0.5,6.0,6.33,6,24,-47,2412,FTM_BLUE,1
154736339,0.5,7.625,5.895,4,24,-47,2412,FTM_BLUE,1
154736879,0.5,5.062,5.31,5,24,-48,2412,FTM_BLUE,1
154737417,0.5,7.5,6.09,6,24,-56,2412,FTM_BLUE,1
154737952,0.5,5.375,4.77,4,24,-48,2412,FTM_BLUE,1
154738491,0.5,6.25,2.88,6,24,-47,2412,FTM_BLUE,1
154739038,0.5,9.125,0.45,2,24,-46,2412,FTM_BLUE,1
154739580,0.5,7.0,3.945,5,24,-46,2412,FTM_BLUE,1
154740129,0.5,2.687,1.695,4,24,-46,2412,FTM_BLUE,1
154740667,0.5,5.687,3.855,6,24,-47,2412,FTM_BLUE,1
