#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
17348587,0.5,20.375,4.995,5,24,-63,2412,FTM_BLUE,1
17349095,0.5,17.25,3.645,7,24,-64,2412,FTM_BLUE,1
17350151,0.5,18.875,1.29,6,24,-64,2412,FTM_BLUE,1
17350714,0.5,26.812,3.12,6,24,-66,2412,FTM_BLUE,1
17351238,0.5,21.0,4.665,7,24,-66,2412,FTM_BLUE,1
17351746,0.5,20.062,1.905,6,24,-65,2412,FTM_BLUE,1
17352266,0.5,36.562,1.23,4,24,-71,2412,FTM_BLUE,1
17352791,0.5,27.875,5.67,6,24,-68,2412,FTM_BLUE,1
17353714,0.5,16.5,1.62,6,24,-63,2412,FTM_BLUE,1
17354229,0.5,22.187,0.93,5,24,-68,2412,FTM_BLUE,1
17354741,0.5,12.562,1.125,5,24,-60,2412,FTM_BLUE,1
17355259,0.5,15.562,4.605,3,24,-61,2412,FTM_BLUE,1
17358744,0.5,16.0,3.96,7,24,-64,2412,FTM_BLUE,1
17360138,0.5,15.437,5.205,8,24,-67,2412,FTM_BLUE,1
17360699,0.5,20.812,2.595,5,24,-64,2412,FTM_BLUE,1
17361221,0.5,18.437,1.965,6,24,-61,2412,FTM_BLUE,1
17361756,0.5,16.625,6.015,5,24,-63,2412,FTM_BLUE,1
17362274,0.5,24.125,1.185,6,24,-72,2412,FTM_BLUE,1
17362818,0.5,23.5,7.605,8,24,-68,2412,FTM_BLUE,1
17363340,0.5,27.25,6.735,6,24,-69,2412,FTM_BLUE,1
17363859,0.5,20.812,5.925,7,24,-61,2412,FTM_BLUE,1
17365394,0.5,21.0,6.06,8,24,-62,2412,FTM_BLUE,1
17365922,0.5,19.187,0.945,5,24,-68,2412,FTM_BLUE,1
17367364,0.5,21.0,5.82,6,24,-66,2412,FTM_BLUE,1
17367895,0.5,19.75,0.9,5,24,-63,2412,FTM_BLUE,1
17368414,0.5,25.187,6.12,8,24,-63,2412,FTM_BLUE,1
17371248,0.5,27.25,5.595,8,24,-67,2412,FTM_BLUE,1
17371773,0.5,19.5,1.035,4,24,-64,2412,FTM_BLUE,1
17372290,0.5,23.687,3.24,7,24,-64,2412,FTM_BLUE,1
17372812,0.5,20.375,3.105,6,24,-66,2412,FTM_BLUE,1
17373327,0.5,21.25,5.595,6,24,-66,2412,FTM_BLUE,1
17373838,0.5,22.187,5.4,6,24,-71,2412,FTM_BLUE,1
17374350,0.5,22.0,3.75,5,24,-64,2412,FTM_BLUE,1
17374867,0.5,15.562,5.025,6,24,-62,2412,FTM_BLUE,1
17375375,0.5,16.312,5.205,7,24,-63,2412,FTM_BLUE,1
17375879,0.5,11.062,0.675,4,24,-60,2412,FTM_BLUE,1
