#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
158031753,0.5,6.437,5.31,6,24,-42,2412,FTM_ORANGE,1
158032288,0.5,7.5,3.75,5,24,-41,2412,FTM_ORANGE,1
158032808,0.5,7.625,3.705,4,24,-41,2412,FTM_ORANGE,1
158033349,0.5,5.812,5.37,7,24,-41,2412,FTM_ORANGE,1
158033883,0.5,7.0,5.22,6,24,-41,2412,FTM_ORANGE,1
158034420,0.5,5.812,4.395,5,24,-41,2412,FTM_ORANGE,1
158034959,0.5,5.5,5.67,6,24,-41,2412,FTM_ORANGE,1
158035492,0.5,9.75,4.56,4,24,-41,2412,FTM_ORANGE,1
158036026,0.5,6.25,5.46,6,24,-41,2412,FTM_ORANGE,1
158036566,0.5,11.5,0.645,4,24,-41,2412,FTM_ORANGE,1
158037097,0.5,5.062,4.935,4,24,-41,2412,FTM_ORANGE,1
158037628,0.5,6.875,5.565,6,24,-41,2412,FTM_ORANGE,1
158038168,0.5,6.25,6.525,6,24,-41,2412,FTM_ORANGE,1
158038710,0.5,4.937,5.37,6,24,-41,2412,FTM_ORANGE,1
158039244,0.5,8.25,5.685,5,24,-50,2412,FTM_ORANGE,1
158039792,0.5,9.562,3.735,4,24,-41,2412,FTM_ORANGE,1
158040329,0.5,4.75,4.605,6,24,-41,2412,FTM_ORANGE,1
158040865,0.5,6.562,6.15,5,24,-41,2412,FTM_ORANGE,1
158041396,0.5,0.875,1.14,4,24,-41,2412,FTM_ORANGE,1
158041937,0.5,4.312,5.865,6,24,-41,2412,FTM_ORANGE,1
158042470,0.5,5.687,4.875,6,24,-41,2412,FTM_ORANGE,1
158043015,0.5,6.562,5.295,5,24,-41,2412,FTM_ORANGE,1
158043557,0.5,8.062,5.94,6,24,-41,2412,FTM_ORANGE,1
158044090,0.5,4.937,4.305,5,24,-41,2412,FTM_ORANGE,1
158044630,0.5,4.75,5.145,6,24,-41,2412,FTM_ORANGE,1
158045543,0.5,7.187,4.605,4,24,-41,2412,FTM_ORANGE,1
158046080,0.5,5.687,4.29,5,24,-41,2412,FTM_ORANGE,1
158046623,0.5,8.5,5.4,6,24,-41,2412,FTM_ORANGE,1
158047163,0.5,8.687,5.88,6,24,-49,2412,FTM_ORANGE,1
158050257,0.5,6.875,6.51,5,24,-41,2412,FTM_ORANGE,1
158050791,0.5,8.375,5.505,3,24,-41,2412,FTM_ORANGE,1
158051329,0.5,8.062,5.745,6,24,-48,2412,FTM_ORANGE,1
158052249,0.5,5.062,5.625,4,24,-41,2412,FTM_ORANGE,1
158052791,0.5,7.625,5.4,5,24,-49,2412,FTM_ORANGE,1
158053330,0.5,7.187,4.725,4,24,-53,2412,FTM_ORANGE,1
158053857,0.5,7.0,6.21,6,24,-57,2412,FTM_ORANGE,1
158054387,0.5,1.937,0.855,4,24,-41,2412,FTM_ORANGE,1
158054925,0.5,7.312,7.02,6,24,-44,2412,FTM_ORANGE,1
158055457,0.5,12.25,4.17,6,24,-47,2412,FTM_ORANGE,1
158059072,0.5,7.937,6.21,6,24,-41,2412,FTM_ORANGE,1
158059598,0.5,3.25,3.645,5,24,-41,2412,FTM_ORANGE,1
158060127,0.5,3.0,1.47,4,24,-41,2412,FTM_ORANGE,1
158060667,0.5,9.25,6.405,6,24,-41,2412,FTM_ORANGE,1
158061209,0.5,10.0,3.63,6,24,-41,2412,FTM_ORANGE,1
