#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
17434171,0.5,19.5,5.49,6,24,-58,2412,FTM_ORANGE,1
17434682,0.5,19.0,6.9,2,24,-26,2412,FTM_ORANGE,1
17435198,0.5,24.437,5.175,5,24,-54,2412,FTM_ORANGE,1
17435718,0.5,15.125,1.26,5,24,-53,2412,FTM_ORANGE,1
17436237,0.5,16.312,0.54,3,24,-53,2412,FTM_ORANGE,1
17436754,0.5,16.625,6.255,7,24,-54,2412,FTM_ORANGE,1
17437291,0.5,17.687,4.8,6,24,-53,2412,FTM_ORANGE,1
17438272,0.5,19.0,5.16,7,24,-54,2412,FTM_ORANGE,1
17438785,0.5,18.875,4.875,8,24,-52,2412,FTM_ORANGE,1
17439302,0.5,16.312,8.085,6,24,-59,2412,FTM_ORANGE,1
17439814,0.5,16.75,6.6,7,24,-51,2412,FTM_ORANGE,1
17440880,0.5,13.0,0.72,5,24,-52,2412,FTM_ORANGE,1
17441399,0.5,22.75,0.42,4,24,-51,2412,FTM_ORANGE,1
17441914,0.5,18.125,5.31,8,24,-51,2412,FTM_ORANGE,1
17444749,0.5,17.687,6.09,7,24,-52,2412,FTM_ORANGE,1
17445269,0.5,16.312,4.335,5,24,-51,2412,FTM_ORANGE,1
17445795,0.5,16.312,4.59,6,24,-60,2412,FTM_ORANGE,1
17446306,0.5,24.562,6.105,7,24,-62,2412,FTM_ORANGE,1
17446821,0.5,13.625,1.395,5,24,-51,2412,FTM_ORANGE,1
17447333,0.5,12.562,1.275,7,24,-50,2412,FTM_ORANGE,1
17447845,0.5,20.062,6.375,7,24,-60,2412,FTM_ORANGE,1
17448820,0.5,17.25,5.055,9,24,-53,2412,FTM_ORANGE,1
17449329,0.5,15.562,2.295,5,24,-53,2412,FTM_ORANGE,1
17449852,0.5,16.187,3.6,6,24,-53,2412,FTM_ORANGE,1
17452672,0.5,15.0,1.635,9,24,-53,2412,FTM_ORANGE,1
17453174,0.5,15.75,4.17,10,24,-52,2412,FTM_ORANGE,1
17453691,0.5,18.75,7.725,4,24,-54,2412,FTM_ORANGE,1
17454204,0.5,18.0,4.68,6,24,-52,2412,FTM_ORANGE,1
17454710,0.5,21.125,7.17,4,24,-56,2412,FTM_ORANGE,1
17455226,0.5,15.25,1.095,5,24,-53,2412,FTM_ORANGE,1
17455784,0.5,20.062,6.435,5,24,-53,2412,FTM_ORANGE,1
17456298,0.5,15.562,2.01,5,24,-53,2412,FTM_ORANGE,1
17459142,0.5,13.75,5.01,6,24,-56,2412,FTM_ORANGE,1
17459655,0.5,18.0,5.505,6,24,-53,2412,FTM_ORANGE,1
17460619,0.5,17.687,6.21,6,24,-51,2412,FTM_ORANGE,1
17461138,0.5,15.0,4.155,7,24,-51,2412,FTM_ORANGE,1
17461659,0.5,13.625,1.935,6,24,-51,2412,FTM_ORANGE,1
17462636,0.5,18.75,3.9,6,24,-52,2412,FTM_ORANGE,1
17463155,0.5,13.937,3.87,5,24,-51,2412,FTM_ORANGE,1
17463681,0.5,15.25,3.855,5,24,-51,2412,FTM_ORANGE,1
