#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
155502180,0.5,15.562,1.83,5,24,-57,2412,FTM_GREEN,1
155502716,0.5,19.0,6.585,6,24,-56,2412,FTM_GREEN,1
155503254,0.5,21.437,6.345,6,24,-64,2412,FTM_GREEN,1
155503787,0.5,15.875,0.315,5,24,-63,2412,FTM_GREEN,1
155504324,0.5,23.25,4.905,7,24,-58,2412,FTM_GREEN,1
155504859,0.5,22.625,5.175,6,24,-57,2412,FTM_GREEN,1
155505382,0.5,21.125,5.7,6,24,-65,2412,FTM_GREEN,1
155505919,0.5,25.75,6.075,6,24,-58,2412,FTM_GREEN,1
155506450,0.5,31.312,6.36,6,24,-74,2412,FTM_GREEN,1
155506985,0.5,28.312,7.56,7,24,-59,2412,FTM_GREEN,1
155507527,0.5,24.75,4.35,4,24,-61,2412,FTM_GREEN,1
155508065,0.5,27.125,5.655,3,24,-60,2412,FTM_GREEN,1
155508603,0.5,18.75,0.24,3,24,-68,2412,FTM_GREEN,1
155509142,0.5,23.687,4.86,4,24,-60,2412,FTM_GREEN,1
155509685,0.5,19.0,7.08,6,24,-66,2412,FTM_GREEN,1
155510214,0.5,15.75,3.69,5,24,-58,2412,FTM_GREEN,1
155510760,0.5,15.0,6.0,6,24,-57,2412,FTM_GREEN,1
155511303,0.5,13.625,0.825,5,24,-58,2412,FTM_GREEN,1
155511838,0.5,17.375,6.15,6,24,-63,2412,FTM_GREEN,1
155512376,0.5,18.25,3.975,7,24,-58,2412,FTM_GREEN,1
155512917,0.5,16.187,3.81,5,24,-58,2412,FTM_GREEN,1
155513457,0.5,22.937,5.94,4,24,-58,2412,FTM_GREEN,1
155513984,0.5,21.25,4.065,5,24,-58,2412,FTM_GREEN,1
155514519,0.5,15.75,5.37,5,24,-58,2412,FTM_GREEN,1
155515059,0.5,19.75,5.595,6,24,-58,2412,FTM_GREEN,1
155515590,0.5,27.875,1.77,7,24,-62,2412,FTM_GREEN,1
155516137,0.5,21.875,1.335,4,24,-58,2412,FTM_GREEN,1
155516669,0.5,24.562,4.965,6,24,-58,2412,FTM_GREEN,1
155517207,0.5,24.437,5.265,6,24,-63,2412,FTM_GREEN,1
155517742,0.5,20.375,0.375,3,24,-58,2412,FTM_GREEN,1
155518279,0.5,21.125,4.26,4,24,-57,2412,FTM_GREEN,1
155518829,0.5,25.75,5.4,5,24,-57,2412,FTM_GREEN,1
155519372,0.5,21.125,3.87,6,24,-57,2412,FTM_GREEN,1
155519909,0.5,18.0,5.265,6,24,-65,2412,FTM_GREEN,1
155520441,0.5,17.812,4.005,4,24,-57,2412,FTM_GREEN,1
155520984,0.5,19.0,6.765,6,24,-60,2412,FTM_GREEN,1
155521524,0.5,26.25,0.855,3,24,-65,2412,FTM_GREEN,1
155522059,0.5,17.5,0.255,4,24,-63,2412,FTM_GREEN,1
155522598,0.5,17.375,6.705,6,24,-56,2412,FTM_GREEN,1
155523135,0.5,18.25,6.0,4,24,-41,2412,FTM_GREEN,1
155523671,0.5,21.25,6.225,6,24,-57,2412,FTM_GREEN,1
155524220,0.5,25.0,5.025,6,24,-56,2412,FTM_GREEN,1
155524765,0.5,21.437,2.94,7,24,-57,2412,FTM_GREEN,1
155525306,0.5,25.75,4.845,6,24,-58,2412,FTM_GREEN,1
155525856,0.5,29.375,2.535,3,24,-59,2412,FTM_GREEN,1
155526850,0.5,21.875,2.73,6,24,-57,2412,FTM_GREEN,1
155527855,0.5,18.875,5.28,7,24,-56,2412,FTM_GREEN,1
155528778,0.5,19.187,2.49,4,24,-57,2412,FTM_GREEN,1
155529314,0.5,15.437,0.615,4,24,-57,2412,FTM_GREEN,1
155529862,0.5,17.687,4.305,6,24,-56,2412,FTM_GREEN,1
155530396,0.5,16.312,1.71,4,24,-55,2412,FTM_GREEN,1
155530934,0.5,23.375,6.225,5,24,-55,2412,FTM_GREEN,1
155531472,0.5,16.0,0.855,4,24,-56,2412,FTM_GREEN,1
