#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
218342588,0.5,11.812,3.0,4,24,-69,2412,FTM_GREEN,1
218343181,0.5,10.0,3.24,4,24,-17,2412,FTM_GREEN,1
218343782,0.5,21.125,3.135,5,24,-73,2412,FTM_GREEN,1
218344913,0.5,9.437,6.345,6,24,-74,2412,FTM_GREEN,1
218347587,0.5,12.562,5.64,4,24,-68,2412,FTM_GREEN,1
218349251,0.5,8.25,1.095,5,24,-69,2412,FTM_GREEN,1
218349850,0.5,23.375,3.45,5,24,-57,2412,FTM_GREEN,1
218351501,0.5,13.5,4.755,7,24,-70,2412,FTM_GREEN,1
218352117,0.5,8.812,2.07,6,24,-47,2412,FTM_GREEN,1
218352719,0.5,17.062,2.1,6,24,-66,2412,FTM_GREEN,1
218353324,0.5,11.25,6.915,3,24,-65,2412,FTM_GREEN,1
218353921,0.5,18.437,0.705,4,24,-54,2412,FTM_GREEN,1
218354532,0.5,9.25,0.39,3,24,-66,2412,FTM_GREEN,1
218355669,0.5,10.937,5.925,5,24,-67,2412,FTM_GREEN,1
218356256,0.5,4.0,0.87,4,24,-66,2412,FTM_GREEN,1
218357466,0.5,15.25,5.535,8,24,-71,2412,FTM_GREEN,1
218359160,0.5,7.625,1.275,5,24,-54,2412,FTM_GREEN,1
218359755,0.5,12.75,5.67,6,24,-70,2412,FTM_GREEN,1
218360876,0.5,15.562,6.84,6,24,-72,2412,FTM_GREEN,1
218362019,0.5,11.25,5.58,4,24,-67,2412,FTM_GREEN,1
218362645,0.5,15.0,0.0,1,24,-66,2412,FTM_GREEN,1
218363246,0.5,9.25,3.285,6,24,-65,2412,FTM_GREEN,1
218363848,0.5,13.625,5.925,7,24,-56,2412,FTM_GREEN,1
218364993,0.5,10.312,5.115,6,24,-66,2412,FTM_GREEN,1
218365609,0.5,13.0,6.945,4,24,-65,2412,FTM_GREEN,1
218366202,0.5,5.687,2.28,3,24,-65,2412,FTM_GREEN,1
218366787,0.5,4.5,1.635,5,24,-65,2412,FTM_GREEN,1
218367377,0.5,4.75,1.545,5,24,-64,2412,FTM_GREEN,1
218368484,0.5,15.0,5.175,9,24,-51,2412,FTM_GREEN,1
218369088,0.5,11.375,4.515,5,24,-65,2412,FTM_GREEN,1
218370772,0.5,6.875,2.085,6,24,-65,2412,FTM_GREEN,1
218371950,0.5,15.25,5.595,4,24,-65,2412,FTM_GREEN,1
