#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
237104,0.5,18.875,6.36,7,24,-74,2412,FTM_BLUE,1
237664,0.5,18.125,5.85,4,24,-77,2412,FTM_BLUE,1
238246,0.5,10.312,0.375,2,24,-71,2412,FTM_BLUE,1
238821,0.5,19.5,6.81,5,24,-77,2412,FTM_BLUE,1
239393,0.5,17.25,3.42,5,24,-71,2412,FTM_BLUE,1
239975,0.5,12.0,1.32,4,24,-71,2412,FTM_BLUE,1
240566,0.5,19.187,5.1,9,24,-70,2412,FTM_BLUE,1
241130,0.5,19.75,4.92,5,24,-70,2412,FTM_BLUE,1
241692,0.5,15.562,4.995,6,24,-70,2412,FTM_BLUE,1
242272,0.5,16.75,4.335,6,24,-68,2412,FTM_BLUE,1
243340,0.5,18.875,5.355,5,24,-70,2412,FTM_BLUE,1
243915,0.5,10.937,2.565,4,24,-72,2412,FTM_BLUE,1
244519,0.5,16.937,4.8,6,24,-70,2412,FTM_BLUE,1
245102,0.5,16.187,5.085,5,24,-73,2412,FTM_BLUE,1
245671,0.5,16.0,3.81,5,24,-80,2412,FTM_BLUE,1
250080,0.5,13.625,1.83,5,24,-69,2412,FTM_BLUE,1
251184,0.5,14.062,0.105,2,24,-76,2412,FTM_BLUE,1
251769,0.5,19.0,7.68,4,24,-75,2412,FTM_BLUE,1
252340,0.5,15.25,5.85,3,24,-76,2412,FTM_BLUE,1
252909,0.5,15.125,4.02,5,24,-76,2412,FTM_BLUE,1
253483,0.5,23.062,1.56,4,24,-77,2412,FTM_BLUE,1
254073,0.5,23.687,5.88,5,24,-83,2412,FTM_BLUE,1
254654,0.5,16.5,5.625,9,24,-69,2412,FTM_BLUE,1
255255,0.5,19.0,4.605,8,24,-60,2412,FTM_BLUE,1
255849,0.5,20.25,5.64,8,24,-69,2412,FTM_BLUE,1
256958,0.5,12.125,2.625,2,24,-36,2412,FTM_BLUE,1
258130,0.5,18.75,4.635,6,24,-80,2412,FTM_BLUE,1
258709,0.5,19.625,5.25,2,24,-82,2412,FTM_BLUE,1
260052,0.5,25.312,0.3,2,24,-78,2412,FTM_BLUE,1
260636,0.5,28.5,0.105,2,24,-80,2412,FTM_BLUE,1
261214,0.5,18.125,4.365,7,24,-78,2412,FTM_BLUE,1
261785,0.5,19.312,4.11,7,24,-81,2412,FTM_BLUE,1
262370,0.5,24.875,0.0,1,24,-82,2412,FTM_BLUE,1
263983,0.5,19.5,9.675,6,24,-81,2412,FTM_BLUE,1
264585,0.5,16.937,5.955,3,24,-80,2412,FTM_BLUE,1
265187,0.5,12.25,1.365,5,24,-79,2412,FTM_BLUE,1
265766,0.5,16.0,5.745,6,24,-80,2412,FTM_BLUE,1
266374,0.5,30.125,0.0,1,24,-81,2412,FTM_BLUE,1
