#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
13931249,0.5,24.25,4.41,8,24,-81,2412,FTM_ORANGE,1
13931753,0.5,18.437,5.595,6,24,-76,2412,FTM_ORANGE,1
13932300,0.5,28.187,0.0,3,24,-82,2412,FTM_ORANGE,1
13933322,0.5,24.875,2.19,5,24,-77,2412,FTM_ORANGE,1
13933834,0.5,19.312,5.55,6,24,-77,2412,FTM_ORANGE,1
13934347,0.5,15.875,5.55,5,24,-80,2412,FTM_ORANGE,1
13934857,0.5,20.062,6.12,5,24,-77,2412,FTM_ORANGE,1
13935372,0.5,16.75,4.65,7,24,-78,2412,FTM_ORANGE,1
13935887,0.5,13.5,1.755,7,24,-78,2412,FTM_ORANGE,1
13936401,0.5,15.437,5.025,5,24,-78,2412,FTM_ORANGE,1
13936936,0.5,12.25,0.705,4,24,-76,2412,FTM_ORANGE,1
13937443,0.5,19.187,7.14,6,24,-80,2412,FTM_ORANGE,1
13938001,0.5,13.0,2.025,6,24,-78,2412,FTM_ORANGE,1
13938510,0.5,13.625,1.17,5,24,-78,2412,FTM_ORANGE,1
13939056,0.5,17.062,6.105,6,24,-78,2412,FTM_ORANGE,1
13939571,0.5,19.0,6.72,6,24,-79,2412,FTM_ORANGE,1
13940113,0.5,19.625,4.875,6,24,-77,2412,FTM_ORANGE,1
13940623,0.5,21.875,3.945,6,24,-77,2412,FTM_ORANGE,1
13941135,0.5,20.25,3.72,5,24,-76,2412,FTM_ORANGE,1
13941651,0.5,19.5,4.785,5,24,-78,2412,FTM_ORANGE,1
13942158,0.5,25.75,0.705,4,24,-78,2412,FTM_ORANGE,1
13942679,0.5,17.687,4.32,7,24,-79,2412,FTM_ORANGE,1
13943693,0.5,13.5,0.465,6,24,-82,2412,FTM_ORANGE,1
13944713,0.5,13.187,0.54,5,24,-79,2412,FTM_ORANGE,1
13945229,0.5,23.5,0.0,1,24,-79,2412,FTM_ORANGE,1
13945744,0.5,21.0,4.8,5,24,-78,2412,FTM_ORANGE,1
13946260,0.5,17.375,6.93,6,24,-79,2412,FTM_ORANGE,1
13946769,0.5,21.437,4.695,7,24,-79,2412,FTM_ORANGE,1
13947280,0.5,18.875,5.085,6,24,-81,2412,FTM_ORANGE,1
13947798,0.5,22.312,5.565,7,24,-82,2412,FTM_ORANGE,1
13948315,0.5,21.437,5.205,7,24,-76,2412,FTM_ORANGE,1
13948826,0.5,19.0,5.34,8,24,-77,2412,FTM_ORANGE,1
13949346,0.5,24.437,3.345,5,24,-80,2412,FTM_ORANGE,1
13950255,0.5,20.812,6.87,5,24,-84,2412,FTM_ORANGE,1
13950764,0.5,22.625,4.305,5,24,-79,2412,FTM_ORANGE,1
13951281,0.5,18.25,5.265,7,24,-82,2412,FTM_ORANGE,1
13952203,0.5,18.437,4.32,10,24,-79,2412,FTM_ORANGE,1
13953141,0.5,17.687,5.145,7,24,-78,2412,FTM_ORANGE,1
13953646,0.5,19.312,5.565,7,24,-75,2412,FTM_ORANGE,1
13954159,0.5,21.25,6.21,7,24,-80,2412,FTM_ORANGE,1
13954672,0.5,21.437,6.6,7,24,-82,2412,FTM_ORANGE,1
13955180,0.5,18.125,5.58,6,24,-80,2412,FTM_ORANGE,1
13956197,0.5,17.687,4.335,7,24,-81,2412,FTM_ORANGE,1
13956707,0.5,18.0,6.345,7,24,-80,2412,FTM_ORANGE,1
13957220,0.5,20.375,6.24,6,24,-80,2412,FTM_ORANGE,1
13957739,0.5,20.062,6.285,6,24,-79,2412,FTM_ORANGE,1
13958264,0.5,18.25,5.895,6,24,-78,2412,FTM_ORANGE,1
13958775,0.5,17.687,4.965,6,24,-77,2412,FTM_ORANGE,1
13959300,0.5,22.0,5.175,6,24,-81,2412,FTM_ORANGE,1
13959820,0.5,16.312,2.865,6,24,-83,2412,FTM_ORANGE,1
13960337,0.5,15.437,0.0,1,24,-82,2412,FTM_ORANGE,1
