#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
155593440,0.5,14.687,4.2,6,24,-52,2412,FTM_ORANGE,1
155593976,0.5,19.75,6.135,5,24,-62,2412,FTM_ORANGE,1
155594521,0.5,26.5,4.425,6,24,-54,2412,FTM_ORANGE,1
155595075,0.5,18.75,3.27,4,24,-54,2412,FTM_ORANGE,1
155595622,0.5,22.0,4.695,6,24,-63,2412,FTM_ORANGE,1
155596153,0.5,21.437,5.055,6,24,-64,2412,FTM_ORANGE,1
155596691,0.5,19.187,5.865,5,24,-55,2412,FTM_ORANGE,1
155597227,0.5,24.437,6.255,6,24,-61,2412,FTM_ORANGE,1
155597764,0.5,19.5,4.095,5,24,-55,2412,FTM_ORANGE,1
155598301,0.5,23.25,5.865,5,24,-54,2412,FTM_ORANGE,1
155598845,0.5,25.187,2.985,4,24,-54,2412,FTM_ORANGE,1
155599379,0.5,18.875,4.68,5,24,-55,2412,FTM_ORANGE,1
155599911,0.5,21.25,7.455,5,24,-54,2412,FTM_ORANGE,1
155600839,0.5,18.875,5.355,6,24,-54,2412,FTM_ORANGE,1
155602868,0.5,22.187,5.295,6,24,-56,2412,FTM_ORANGE,1
155603408,0.5,15.125,4.125,6,24,-53,2412,FTM_ORANGE,1
155603953,0.5,21.562,6.63,6,24,-54,2412,FTM_ORANGE,1
155604491,0.5,28.5,0.87,3,24,-54,2412,FTM_ORANGE,1
155605020,0.5,15.75,5.7,6,24,-54,2412,FTM_ORANGE,1
155605550,0.5,22.5,4.575,5,24,-54,2412,FTM_ORANGE,1
155606088,0.5,20.062,5.76,6,24,-55,2412,FTM_ORANGE,1
155606636,0.5,23.25,6.795,7,24,-56,2412,FTM_ORANGE,1
155607182,0.5,19.625,5.565,6,24,-59,2412,FTM_ORANGE,1
155607725,0.5,23.062,3.21,6,24,-56,2412,FTM_ORANGE,1
155608264,0.5,25.0,4.86,6,24,-56,2412,FTM_ORANGE,1
155608805,0.5,21.562,5.175,6,24,-55,2412,FTM_ORANGE,1
155609334,0.5,19.0,4.605,6,24,-63,2412,FTM_ORANGE,1
155609877,0.5,26.25,0.945,3,24,-56,2412,FTM_ORANGE,1
155610421,0.5,18.875,1.14,5,24,-56,2412,FTM_ORANGE,1
155610946,0.5,18.0,3.525,5,24,-56,2412,FTM_ORANGE,1
155611478,0.5,21.125,6.24,5,24,-65,2412,FTM_ORANGE,1
155612019,0.5,20.812,5.625,6,24,-46,2412,FTM_ORANGE,1
155612553,0.5,21.125,5.58,6,24,-64,2412,FTM_ORANGE,1
155613085,0.5,15.875,0.0,3,24,-55,2412,FTM_ORANGE,1
155614089,0.5,24.437,4.545,4,24,-65,2412,FTM_ORANGE,1
155614624,0.5,22.0,5.475,3,24,-55,2412,FTM_ORANGE,1
155615153,0.5,21.562,5.415,6,24,-61,2412,FTM_ORANGE,1
155615690,0.5,20.25,6.45,5,24,-45,2412,FTM_ORANGE,1
155616214,0.5,22.0,4.365,6,24,-64,2412,FTM_ORANGE,1
155617185,0.5,19.75,5.175,6,24,-60,2412,FTM_ORANGE,1
155617722,0.5,17.5,4.17,5,24,-60,2412,FTM_ORANGE,1
155618259,0.5,22.312,6.225,6,24,-66,2412,FTM_ORANGE,1
155618797,0.5,30.0,6.69,4,24,-71,2412,FTM_ORANGE,1
155619339,0.5,21.25,0.12,4,24,-67,2412,FTM_ORANGE,1
155619875,0.5,22.937,5.265,4,24,-67,2412,FTM_ORANGE,1
155620409,0.5,27.437,2.97,6,24,-68,2412,FTM_ORANGE,1
155620946,0.5,26.812,3.6,5,24,-60,2412,FTM_ORANGE,1
155621493,0.5,30.25,3.81,6,24,-60,2412,FTM_ORANGE,1
155622028,0.5,25.75,5.34,7,24,-58,2412,FTM_ORANGE,1
