#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
155214704,0.5,36.875,3.525,2,24,-28,2412,FTM_ORANGE,1
155215242,0.5,28.312,4.785,6,24,-56,2412,FTM_ORANGE,1
155215783,0.5,34.5,5.895,6,24,-57,2412,FTM_ORANGE,1
155216322,0.5,32.687,5.22,5,24,-57,2412,FTM_ORANGE,1
155216860,0.5,33.0,5.115,5,24,-57,2412,FTM_ORANGE,1
155217396,0.5,27.75,5.625,6,24,-62,2412,FTM_ORANGE,1
155217934,0.5,28.0,5.61,6,24,-53,2412,FTM_ORANGE,1
155218470,0.5,22.75,6.06,4,24,-52,2412,FTM_ORANGE,1
155219001,0.5,21.875,2.52,5,24,-51,2412,FTM_ORANGE,1
155219536,0.5,13.75,0.27,4,24,-51,2412,FTM_ORANGE,1
155220060,0.5,19.625,5.7,6,24,-51,2412,FTM_ORANGE,1
155220593,0.5,19.625,5.22,4,24,-51,2412,FTM_ORANGE,1
155221126,0.5,20.812,5.76,6,24,-51,2412,FTM_ORANGE,1
155221661,0.5,20.5,6.705,6,24,-51,2412,FTM_ORANGE,1
155222202,0.5,20.812,5.1,6,24,-58,2412,FTM_ORANGE,1
155222746,0.5,22.75,6.48,6,24,-51,2412,FTM_ORANGE,1
155223739,0.5,19.75,5.745,6,24,-52,2412,FTM_ORANGE,1
155224273,0.5,17.375,6.9,6,24,-52,2412,FTM_ORANGE,1
155224798,0.5,26.062,0.54,4,24,-52,2412,FTM_ORANGE,1
155225328,0.5,20.812,6.765,5,24,-52,2412,FTM_ORANGE,1
155226336,0.5,14.812,0.96,5,24,-53,2412,FTM_ORANGE,1
155226877,0.5,26.5,1.59,4,24,-53,2412,FTM_ORANGE,1
155228370,0.5,12.875,1.35,5,24,-45,2412,FTM_ORANGE,1
155229378,0.5,16.937,4.365,6,24,-53,2412,FTM_ORANGE,1
155229906,0.5,18.562,4.485,6,24,-53,2412,FTM_ORANGE,1
155230445,0.5,19.75,5.955,4,24,-54,2412,FTM_ORANGE,1
155230977,0.5,17.062,0.435,4,24,-60,2412,FTM_ORANGE,1
155231506,0.5,25.312,5.07,6,24,-53,2412,FTM_ORANGE,1
155232044,0.5,22.625,5.58,6,24,-60,2412,FTM_ORANGE,1
155232578,0.5,21.875,5.775,4,24,-52,2412,FTM_ORANGE,1
155233107,0.5,26.25,3.42,5,24,-60,2412,FTM_ORANGE,1
155233644,0.5,18.25,3.39,6,24,-52,2412,FTM_ORANGE,1
155234178,0.5,19.75,0.27,4,24,-53,2412,FTM_ORANGE,1
155234698,0.5,23.375,5.16,6,24,-53,2412,FTM_ORANGE,1
155235230,0.5,23.5,6.78,7,24,-59,2412,FTM_ORANGE,1
155235762,0.5,19.937,1.335,4,24,-53,2412,FTM_ORANGE,1
155236697,0.5,23.5,3.42,6,24,-52,2412,FTM_ORANGE,1
155237235,0.5,20.25,0.75,4,24,-59,2412,FTM_ORANGE,1
155237763,0.5,23.25,4.86,6,24,-59,2412,FTM_ORANGE,1
155238306,0.5,22.75,0.345,4,24,-53,2412,FTM_ORANGE,1
155238851,0.5,25.312,5.775,6,24,-60,2412,FTM_ORANGE,1
155239382,0.5,26.375,5.475,6,24,-61,2412,FTM_ORANGE,1
155240456,0.5,29.812,5.16,6,24,-55,2412,FTM_ORANGE,1
155240994,0.5,30.25,4.305,4,24,-55,2412,FTM_ORANGE,1
155241526,0.5,28.0,5.415,8,24,-54,2412,FTM_ORANGE,1
155242065,0.5,23.687,3.615,5,24,-62,2412,FTM_ORANGE,1
155242606,0.5,28.937,5.82,6,24,-54,2412,FTM_ORANGE,1
155243150,0.5,22.0,0.675,4,24,-54,2412,FTM_ORANGE,1
155243690,0.5,28.75,5.715,4,24,-67,2412,FTM_ORANGE,1
155244220,0.5,26.375,5.88,6,24,-63,2412,FTM_ORANGE,1
