#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
217777341,0.5,8.25,0.3,2,24,-48,2412,FTM_ORANGE,1
217777834,0.5,7.187,5.31,4,24,-41,2412,FTM_ORANGE,1
217778336,0.5,4.75,3.915,6,24,-48,2412,FTM_ORANGE,1
217778849,0.5,5.25,4.68,5,24,-47,2412,FTM_ORANGE,1
217779364,0.5,5.687,4.02,6,24,-50,2412,FTM_ORANGE,1
217779872,0.5,11.25,2.715,6,24,-61,2412,FTM_ORANGE,1
217780392,0.5,3.562,4.365,6,24,-48,2412,FTM_ORANGE,1
217780906,0.5,5.062,4.155,4,24,-48,2412,FTM_ORANGE,1
217781432,0.5,6.125,3.915,4,24,-47,2412,FTM_ORANGE,1
217781957,0.5,6.562,3.705,4,24,-47,2412,FTM_ORANGE,1
217782498,0.5,5.25,4.59,4,24,-50,2412,FTM_ORANGE,1
217783530,0.5,1.625,0.0,1,24,-48,2412,FTM_ORANGE,1
217784054,0.5,6.562,0.0,1,24,-49,2412,FTM_ORANGE,1
217784563,0.5,6.875,0.3,2,24,-47,2412,FTM_ORANGE,1
217785085,0.5,6.562,6.39,5,24,-46,2412,FTM_ORANGE,1
217785607,0.5,5.687,4.905,6,24,-45,2412,FTM_ORANGE,1
217786120,0.5,8.25,4.68,4,24,-57,2412,FTM_ORANGE,1
217786639,0.5,9.125,5.88,5,24,-57,2412,FTM_ORANGE,1
217787150,0.5,1.5,2.025,6,24,-43,2412,FTM_ORANGE,1
217787672,0.5,10.187,5.34,6,24,-41,2412,FTM_ORANGE,1
217788702,0.5,10.187,2.82,5,24,-45,2412,FTM_ORANGE,1
217789218,0.5,3.75,3.6,5,24,-49,2412,FTM_ORANGE,1
217790216,0.5,7.312,4.365,7,24,-47,2412,FTM_ORANGE,1
217790733,0.5,5.5,4.5,3,24,-15,2412,FTM_ORANGE,1
217791254,0.5,7.187,4.95,8,24,-46,2412,FTM_ORANGE,1
217791757,0.5,3.875,5.685,3,24,-45,2412,FTM_ORANGE,1
217792267,0.5,4.0,1.995,3,24,-30,2412,FTM_ORANGE,1
217792783,0.5,11.687,0.87,3,24,-45,2412,FTM_ORANGE,1
217793302,0.5,9.0,2.475,2,24,-45,2412,FTM_ORANGE,1
217793839,0.5,8.375,0.15,2,24,-45,2412,FTM_ORANGE,1
217794359,0.5,5.25,4.155,6,24,-45,2412,FTM_ORANGE,1
217794879,0.5,10.937,0.0,1,24,0,2412,FTM_ORANGE,1
217795400,0.5,0.875,1.245,3,24,-47,2412,FTM_ORANGE,1
217795919,0.5,9.25,4.125,2,24,-24,2412,FTM_ORANGE,1
217796428,0.5,10.0,0.0,1,24,-56,2412,FTM_ORANGE,1
217796941,0.5,8.812,6.54,5,24,-56,2412,FTM_ORANGE,1
217797452,0.5,8.375,4.125,6,24,-57,2412,FTM_ORANGE,1
217797967,0.5,4.937,3.285,4,24,-42,2412,FTM_ORANGE,1
217798487,0.5,8.25,4.35,5,24,-53,2412,FTM_ORANGE,1
217799001,0.5,0.437,1.575,3,24,-41,2412,FTM_ORANGE,1
217799523,0.5,7.312,4.86,4,24,-56,2412,FTM_ORANGE,1
217800049,0.5,4.937,5.445,6,24,-54,2412,FTM_ORANGE,1
217800576,0.5,6.562,5.58,5,24,-53,2412,FTM_ORANGE,1
217801094,0.5,1.937,2.01,3,24,-52,2412,FTM_ORANGE,1
217801607,0.5,3.125,4.425,4,24,-52,2412,FTM_ORANGE,1
217802124,0.5,7.75,0.0,1,24,-53,2412,FTM_ORANGE,1
217802643,0.5,5.687,5.61,6,24,-53,2412,FTM_ORANGE,1
217803681,0.5,9.25,3.99,5,24,-52,2412,FTM_ORANGE,1
217804714,0.5,3.437,1.53,5,24,-55,2412,FTM_ORANGE,1
217805225,0.5,8.687,5.85,8,24,-54,2412,FTM_ORANGE,1
217805723,0.5,3.875,2.715,7,24,-53,2412,FTM_ORANGE,1
217806725,0.5,7.5,5.775,7,24,-52,2412,FTM_ORANGE,1
