#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
538438223,0.5,7.937,4.2,6,24,-50,2412,FTM_BLUE,1
538438722,0.5,3.25,3.675,7,24,-48,2412,FTM_BLUE,1
538439221,0.5,6.562,5.655,5,24,-49,2412,FTM_BLUE,1
538439726,0.5,2.5,3.945,8,24,-50,2412,FTM_BLUE,1
538440225,0.5,7.5,4.83,3,24,-51,2412,FTM_BLUE,1
538440724,0.5,0.0,0.435,3,24,-51,2412,FTM_BLUE,1
538441226,0.5,8.375,5.895,9,24,-53,2412,FTM_BLUE,1
538441732,0.5,13.5,6.75,6,24,-62,2412,FTM_BLUE,1
538442239,0.5,6.25,3.615,8,24,-49,2412,FTM_BLUE,1
538442744,0.5,9.75,0.0,1,24,-47,2412,FTM_BLUE,1
538443249,0.5,5.375,4.755,6,24,-46,2412,FTM_BLUE,1
538443756,0.5,6.0,6.24,8,24,-49,2412,FTM_BLUE,1
538444255,0.5,1.75,3.99,4,24,-47,2412,FTM_BLUE,1
538445132,0.5,6.75,4.905,9,24,-57,2412,FTM_BLUE,1
538445662,0.5,5.375,4.725,7,24,-50,2412,FTM_BLUE,1
538446588,0.5,6.437,5.265,5,24,-52,2412,FTM_BLUE,1
538447083,0.5,5.062,5.625,7,24,-49,2412,FTM_BLUE,1
538447584,0.5,1.75,1.95,7,24,-51,2412,FTM_BLUE,1
538448087,0.5,1.5,0.99,5,24,-53,2412,FTM_BLUE,1
538448591,0.5,6.25,5.445,6,24,-54,2412,FTM_BLUE,1
538449091,0.5,6.75,5.43,6,24,-45,2412,FTM_BLUE,1
538449593,0.5,6.75,4.455,8,24,-50,2412,FTM_BLUE,1
538450094,0.5,3.562,3.465,6,24,-50,2412,FTM_BLUE,1
538450596,0.5,2.062,5.37,4,24,-46,2412,FTM_BLUE,1
538451099,0.5,5.375,1.965,4,24,-55,2412,FTM_BLUE,1
538451605,0.5,6.25,0.81,5,24,-47,2412,FTM_BLUE,1
538452112,0.5,3.437,3.75,5,24,-48,2412,FTM_BLUE,1
538452620,0.5,6.437,4.425,5,24,-49,2412,FTM_BLUE,1
538453123,0.5,5.062,3.645,6,24,-54,2412,FTM_BLUE,1
538454034,0.5,5.25,5.19,5,24,-48,2412,FTM_BLUE,1
538454537,0.5,6.875,3.03,5,24,-48,2412,FTM_BLUE,1
538455037,0.5,2.812,2.82,3,24,-47,2412,FTM_BLUE,1
538455538,0.5,4.187,4.695,5,24,-56,2412,FTM_BLUE,1
538456044,0.5,6.25,6.255,7,24,-49,2412,FTM_BLUE,1
538456546,0.5,5.5,4.065,5,24,-46,2412,FTM_BLUE,1
538457047,0.5,7.0,6.72,7,24,-50,2412,FTM_BLUE,1
538457557,0.5,6.75,0.0,1,24,0,2412,FTM_BLUE,1
538458058,0.5,5.375,5.055,8,24,-58,2412,FTM_BLUE,1
538458559,0.5,8.687,5.205,8,24,-54,2412,FTM_BLUE,1
538459067,0.5,4.312,3.84,6,24,-51,2412,FTM_BLUE,1
538459564,0.5,9.25,0.435,3,24,-43,2412,FTM_BLUE,1
538460063,0.5,3.75,1.845,5,24,-46,2412,FTM_BLUE,1
538460562,0.5,5.5,4.53,6,24,-49,2412,FTM_BLUE,1
538461066,0.5,3.75,3.84,7,24,-44,2412,FTM_BLUE,1
538461576,0.5,8.25,3.225,6,24,-52,2412,FTM_BLUE,1
538462086,0.5,4.312,4.905,7,24,-43,2412,FTM_BLUE,1
538462585,0.5,4.937,4.11,6,24,-46,2412,FTM_BLUE,1
538463086,0.5,7.187,5.715,6,24,-56,2412,FTM_BLUE,1
538463588,0.5,6.875,3.285,4,24,-43,2412,FTM_BLUE,1
538464090,0.5,4.0,4.5,5,24,-34,2412,FTM_BLUE,1
538464597,0.5,4.75,4.125,4,24,-43,2412,FTM_BLUE,1
538465603,0.5,5.5,5.13,5,24,-43,2412,FTM_BLUE,1
538466111,0.5,9.0,0.45,2,24,-57,2412,FTM_BLUE,1
538466616,0.5,15.875,4.68,8,24,-63,2412,FTM_BLUE,1
538467115,0.5,8.812,1.695,5,24,-55,2412,FTM_BLUE,1
538467621,0.5,4.75,4.05,6,24,-58,2412,FTM_BLUE,1
