#<Time(ms)>,<True Range(m)>,<Est. Range(m)>,<Std dev(m)>,<Successes#>,<Burst#>,<RSSI(dBm)>,<Ch-MHz>,<AP-SSID>,<RTT AP?>
134004,0.5,5.25,4.575,5,24,-63,2412,FTM_GREEN,1
134565,0.5,2.687,1.17,6,24,-61,2412,FTM_GREEN,1
135149,0.5,9.125,6.27,10,24,-59,2412,FTM_GREEN,1
135743,0.5,9.75,7.29,5,24,-64,2412,FTM_GREEN,1
136373,0.5,16.0,6.675,4,24,-71,2412,FTM_GREEN,1
136948,0.5,6.875,5.115,5,24,-59,2412,FTM_GREEN,1
138880,0.5,5.062,5.025,5,24,-56,2412,FTM_GREEN,1
139480,0.5,5.375,6.12,3,24,-69,2412,FTM_GREEN,1
140055,0.5,4.0,2.205,4,24,-63,2412,FTM_GREEN,1
141132,0.5,4.0,0.75,5,24,-68,2412,FTM_GREEN,1
141763,0.5,7.5,5.625,8,24,-60,2412,FTM_GREEN,1
142368,0.5,9.562,5.835,6,24,-69,2412,FTM_GREEN,1
144281,0.5,2.062,0.465,3,24,-65,2412,FTM_GREEN,1
145928,0.5,7.625,5.385,8,24,-63,2412,FTM_GREEN,1
146544,0.5,3.75,3.105,4,24,-63,2412,FTM_GREEN,1
147130,0.5,4.75,6.15,7,24,-64,2412,FTM_GREEN,1
147722,0.5,3.875,1.815,4,24,-63,2412,FTM_GREEN,1
148320,0.5,5.25,5.145,5,24,-63,2412,FTM_GREEN,1
148923,0.5,8.5,6.36,5,24,-63,2412,FTM_GREEN,1
150624,0.5,7.5,5.445,11,24,-63,2412,FTM_GREEN,1
151794,0.5,15.25,0.87,4,24,-63,2412,FTM_GREEN,1
152425,0.5,14.25,0.24,4,24,-62,2412,FTM_GREEN,1
153019,0.5,12.875,0.345,3,24,-62,2412,FTM_GREEN,1
153639,0.5,5.812,6.105,4,24,-64,2412,FTM_GREEN,1
155006,0.5,5.062,5.76,5,24,-56,2412,FTM_GREEN,1
156619,0.5,6.125,5.835,4,24,-55,2412,FTM_GREEN,1
157200,0.5,13.0,1.095,4,24,-55,2412,FTM_GREEN,1
157806,0.5,5.812,4.845,6,24,-57,2412,FTM_GREEN,1
158383,0.5,9.125,4.23,4,24,-55,2412,FTM_GREEN,1
158993,0.5,3.875,3.735,7,24,-55,2412,FTM_GREEN,1
161029,0.5,0.875,0.645,4,24,-63,2412,FTM_GREEN,1
161606,0.5,13.75,1.71,4,24,-60,2412,FTM_GREEN,1
163141,0.5,9.25,7.35,2,24,-62,2412,FTM_GREEN,1
163711,0.5,10.75,4.245,5,24,-62,2412,FTM_GREEN,1
